  SEDIMENT-YIELD ESTIMATION - SYPOME3

  * Version 3
  * SY equation based on the principle of maximum entropy
  * Program can only compute up to 1500 events
                        
  Universidade Federal do Ceara
  University of Birmingham
  Jose Carlos de Araujo, 2004
  Technische Unibversitat Berlin
  Pedro Alencar, 2019

 --------------------------------------------------------------
 Title: Canabrava           
 --------------------------------------------------------------
 Input file .....................................               defaut
 Output file ....................................               defaut
 Number of precipitation gauges .................    1
 Number of cells ................................    1
 Number of events ...............................  960
 ------------------------------------------------------------
 Precipitation gauge number .....................    1
 ------------------------------------------------------------
    i     id    date      D(mm)     Dur(min)    R(MJ.mm/ha/h)      
  225    225  19774       5.81         93.3        32.3
  226    226  19779       7.27       1419.8       921.8
  227    227  19781       3.84        222.8       129.6
  228    228  19787       0.39        740.4       541.0
  229    229  19791      21.59       1577.1      1138.5
  230    230  19793       0.40        119.9        71.2
  231    231  19795      11.97       1089.0       791.7
  232    232  19797       5.22       1362.9       848.2
  233    233  19799       0.02        523.8       324.6
  234    234  19801      46.44       1549.1      1095.1
  235    235  19802       0.01        190.3       139.5
  236    236  19803       0.01        701.4       346.5
  237    237  20112      33.17        414.0       191.8
  238    238  20113       3.01        574.4       420.8
  239    239  20114       4.74        290.0       180.2
  240    240  20115       0.01        170.7       123.7
  241    241  20119       2.62        605.9       442.3
  242    242  20131      20.13       1032.7       741.4
  243    243  20135       0.05        168.8       119.6
  244    244  20139      11.80       2245.4      1570.2
  245    245  20144      11.97       1099.2       799.0
  246    246  20147       0.79        202.6       134.9
  247    247  20149      54.19       3224.7      2264.8
  248    248  20153       4.28       1971.1       906.5
  249    249  20154       0.25        155.4       102.8
  250    250  20156       1.03        600.8       422.7
  251    251  20158       1.30        593.2       423.7
  252    252  20161      19.41       1334.2       970.8
  253    253  20163       0.25         84.1        45.2
  254    254  20164       3.01        413.3       295.0
  255    255  20165       1.03        390.4       287.0
  256    256  20167      11.35       2415.5      1299.3
  257    257  20168       0.13        746.6       403.1
  258    258  20170      16.60       1242.2       904.1
  259    259  20171       0.25        242.2       175.9
  260    260  20173       3.84        255.0       155.9
  261    261  20174      10.13       2354.3      1242.5
  262    262  20175      13.91       1098.4       800.4
  263    263  20183       3.98        762.4       429.7
  264    264  20184      19.41       1314.3       957.0
  265    265  20185      23.07       1907.6      1343.4
  266    266  20186       2.62       1020.0       650.7
  267    267  20200       0.79        928.3       524.2
  268    268  20434       5.64       3057.8      2166.2
